Strategy,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,AUC,Training_Time,Best_C,Best_gamma,Best_kernel
MFCC,1,93,76,55,40,0.6401515151515151,0.6283783783783784,0.6992481203007519,0.6619217081850534,0.678987545198875,27.119791746139526,10,0.01,rbf
MFCC,2,79,89,42,54,0.6363636363636364,0.6528925619834711,0.5939849624060151,0.6220472440944882,0.6826895482982265,30.68142318725586,10,0.01,rbf
MFCC,3,92,82,49,41,0.6590909090909091,0.6524822695035462,0.6917293233082706,0.6715328467153284,0.7186764621477357,35.11515760421753,100,0.001,rbf
MFCC,4,80,71,59,53,0.5741444866920152,0.5755395683453237,0.6015037593984962,0.5882352941176471,0.637622903412377,32.07051610946655,1,0.1,rbf
MFCC,5,91,84,47,41,0.6653992395437263,0.6594202898550725,0.6893939393939394,0.674074074074074,0.6825699745547074,30.79047417640686,1,0.01,rbf
MFCC_DELTA,1,98,75,56,35,0.6553030303030303,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.7291511220800092,73.77703356742859,1,0.01,rbf
MFCC_DELTA,2,89,81,50,44,0.6439393939393939,0.6402877697841727,0.6691729323308271,0.6544117647058824,0.6698042816966079,73.75995516777039,1,0.01,rbf
MFCC_DELTA,3,93,79,52,40,0.6515151515151515,0.6413793103448275,0.6992481203007519,0.6690647482014388,0.725707398266659,66.96741318702698,1,0.01,rbf
MFCC_DELTA,4,90,69,61,43,0.6045627376425855,0.5960264900662252,0.6766917293233082,0.6338028169014085,0.6390399074609601,79.3447687625885,100,0.001,rbf
MFCC_DELTA,5,87,83,48,45,0.6463878326996197,0.6444444444444445,0.6590909090909091,0.651685393258427,0.6845651168170253,68.41846752166748,1,0.01,rbf
MFCC_DELTA_DELTA,1,97,73,58,36,0.6439393939393939,0.6258064516129033,0.7293233082706767,0.6736111111111112,0.7300120530333467,113.7192919254303,1,0.01,rbf
MFCC_DELTA_DELTA,2,71,82,49,62,0.5795454545454546,0.5916666666666667,0.5338345864661654,0.5612648221343873,0.6226826608505998,99.90005135536194,1,0.001,linear
MFCC_DELTA_DELTA,3,86,83,48,47,0.6401515151515151,0.6417910447761194,0.6466165413533834,0.6441947565543071,0.6690581415370488,120.48782873153687,10,0.001,linear
MFCC_DELTA_DELTA,4,90,67,63,43,0.596958174904943,0.5882352941176471,0.6766917293233082,0.6293706293706294,0.6486986697513013,98.69701886177063,100,0.001,rbf
MFCC_DELTA_DELTA,5,88,85,46,44,0.6577946768060836,0.6567164179104478,0.6666666666666666,0.6616541353383458,0.6891337034466806,134.98478174209595,1,0.01,rbf
